"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-03",,"0.30",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-04",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-05",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-06",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-07",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-08",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-09",,"0.12",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-10",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-11",,"0.02",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-12",,"0.64",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-13",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-14",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-15",,"0.06",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-16",,"0.01",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-17",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-18",,"0.04",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-19",,"0.13",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-20",,"0.67",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-21",,"0.01",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-22",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-23",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-24",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-25",,"0.00",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-26",,"0.03",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-27",,"1.12",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-28",,"0.46",,,,,,,,,,,,,,
"US1TXDA0063","DESOTO 2.2 ENE, TX US","2016-05-29",,"0.02",,,,,,,,,,,,,,
